uid,consentDate,cloudSyncEnabled,notifReminders,notifFrequency,notifTime,fcmTokenPresent,lastNotifiedAt,status
1E4PUNBMtKYudwMLvlUhT57xBBz1,2026-05-30,true,,,,false,,no_reminders
1FOOrBDwXHexaZ6Mqqwk2BoDiDx1,2026-05-30,true,true,weekly,night,true,2026-05-31,working
1S7Z5usVo8fMdbHvwt28ilyuofe2,2026-05-30,true,,,,false,,no_reminders
2oA8b0ntjVU7sOiSzW5w9lKsMaB2,2026-05-30,true,,,,false,,no_reminders
3J9X6YXHOaaVTStao5IVYtzzdFD3,2026-05-30,true,,,,false,,no_reminders
3kPK4z73sIeEe9uyj03VUCSsu3D3,2026-05-30,true,true,twice-weekly,night,true,2026-06-03,working
3tNHmxubFldmgh5xDLQaf8zisST2,2026-05-30,true,,,,false,,no_reminders
4PocIYsaXwOz5ukLx3j7jmMins43,2026-05-30,true,true,weekly,morning,true,2026-05-31,working
5NijM8GiJJWdtrOCsK9ZvTxal6U2,2026-05-31,true,,,,false,,no_reminders
5qsm6BhtwPNyVia7Uksx9GISxCP2,2026-06-04,true,false,weekly,morning,false,,no_reminders
66nuhA4yJDaZJPHsfoyqgGj0ikT2,2026-05-30,true,,,,false,,no_reminders
7CXGFZc0R2YNGbaOYJ4kaQo9bbn2,2026-05-30,true,,,,false,,no_reminders
7HtoXGjDQpXIJrOWDRJMDONtoay1,2026-05-30,true,true,twice-weekly,morning,true,2026-06-04,working
7SgdyyO1NuPhvnS7Z7DUJQnwzTT2,2026-05-30,true,,,,false,,no_reminders
7zqZPQI543Uk6SMsIC57qDDkRey1,2026-05-30,true,,,,false,,no_reminders
8GdJIzaGtecx4OfVgmLQeLwMRAg2,2026-05-30,true,true,weekly,night,true,,pending
AC4mXlKcN1TPCcqMd56kbmYO0xs1,2026-05-31,true,,,,false,,no_reminders
AJ5gjihG7RTsXHRt1797ijUHpuz1,2026-05-31,true,,,,false,,no_reminders
D90b3kjyjsMS8fr3GpbY3d3RdnX2,2026-05-30,true,,,,false,,no_reminders
DYslei21qBT7ORuY0qvbsXpNbum1,2026-05-30,true,,,,false,,no_reminders
DpFtEgme17RQBD5HaNWBjZKOtGb2,2026-06-01,true,,,,false,,no_reminders
DqdKHwrgwHcgvoqY058i0DF33dd2,2026-05-30,true,,,,false,,no_reminders
ESAc4xlRaMNwMXhKzkJvHYaeN8B2,2026-06-04,true,true,weekly,morning,true,,pending
FQcxB4cMuldNu6g1z4wHzgB2zX03,2026-05-30,true,,,,false,,no_reminders
FcEElg0N3iQqMM9o32sB7cSFcf82,2026-05-30,true,,,,false,,no_reminders
FswkBXhhNbOTYJMWxyQnk03fsM32,2026-05-30,true,,,,false,,no_reminders
GCD3btd3BXTj2NAkc1Od5zDiGsX2,2026-06-03,true,true,weekly,morning,true,2026-06-04,working
GCSNYZsT41aaSARcH5E1zqylWxG3,2026-05-30,true,,,,false,,no_reminders
Gb1kfcWBVSfz03mExK8mwyT8qOA2,2026-06-01,true,,,,false,,no_reminders
JVKMsmFwtbbbUjqbWOqI27ewdRj1,2026-05-30,true,,,,false,,no_reminders
KL10zuGHEUVupp8M3F5sSBwSTbQ2,2026-05-31,false,,,,false,,no_consent
KXbwBjGmN9Ts7genVEQ9EA7jnFl1,2026-05-30,true,,,,false,,no_reminders
KcABjGdXynW9xXZUzhFZhoPboxw2,2026-05-30,true,,,,false,,no_reminders
McYhCVZrRHdswu4H8gDTAQV4Ifh1,2026-06-01,true,true,weekly,night,true,2026-06-01,working
N5bY2PiiejV1vXowoWtuH20eIT02,2026-06-03,true,true,twice-weekly,night,true,2026-06-03,working
NXn3xhq6BIaSgdkdk0bCB4sUzUG2,2026-05-30,true,true,twice-weekly,morning,true,2026-05-31,working
NZ4QUTFnBfNUBIAlNynScDYzHE23,2026-06-01,true,,,,false,,no_reminders
O74tZQ6HxAhnbipeibcYMKdDVsa2,2026-05-30,true,true,weekly,night,true,2026-05-31,working
OeUZ4N0L7cQ6Ndjdz5YurJifsnG3,2026-05-30,true,true,twice-weekly,night,true,2026-06-03,working
Os2PDoW4BRVR0rkTrtoQLKOBZ7l1,2026-06-01,true,,,,false,,no_reminders
PnARMEUrfPSoxkSxhkoEwGfF2r73,2026-05-30,true,,,,false,,no_reminders
